"","Series","Naive2","Comb","ARIMA","ETS","ETSARIMA","Naive2.1","Comb.1","ARIMA.1","ETS.1","ETSARIMA.1"
"198","W198",0.0536753156879703,0.0567525695383204,0.0601063496776751,0.0603009768614653,0.0602026940212724,3.13634942544364,3.31049710622487,3.49923700382901,3.51026117375175,3.50474908879038
"199","W199",0.0513071808097943,0.136810514924404,0.149568237662341,0.149921425464485,0.149744807858617,0.812006075049822,2.02305679603193,2.19818238635721,2.20281436816743,2.20049837726232
"200","W200",0.112148915938132,0.183142526705254,0.155915656363829,0.113415136998346,0.134404369517792,0.774476559485682,1.24054933450952,1.06820130983641,0.783190660677862,0.925695985257138
"201","W201",0.043574754130441,0.0558962801094228,0.0508669511134334,0.0435680538012296,0.0472108871947373,2.27013683914624,2.89318433916629,2.64006308324881,2.26979570587447,2.45492939456164
"202","W202",0.0136746720890462,0.015254735885621,0.021945860561182,0.0131730444386966,0.0172746261211295,0.633435471456993,0.705837131500987,1.01091310777008,0.610410954182226,0.798204826000615
"203","W203",0.0806155317920149,0.0675262368433246,0.0695621986163513,0.0457025713434234,0.0565069890133398,3.91887386388827,3.24402249857033,3.34842112334509,2.14594491566504,2.68498498210069
"204","W204",0.00420608419465827,0.00341976924530182,0.00737432549623344,0.00276552715977431,0.00402124339379065,0.972431879668197,0.791061705731804,1.70075408187738,0.639795417931171,0.929753987854294
"205","W205",0.0760954890172384,0.0450600527506384,0.0655409438392423,0.0769940451807119,0.0712473460050508,6.37152298818542,3.84442267069601,5.52366748411698,6.44290313096229,5.98328530753964
"206","W206",0.119422243150164,0.106648958283073,0.121787565429758,0.0944607145351003,0.101481677390809,1.46037267697286,1.314338948453,1.48708795168011,1.17064894218786,1.25353189589736
"207","W207",0.235926486754644,0.186798609989093,0.20332854509353,0.22279492209196,0.212674426155107,12.288959990552,10.0722070865848,10.8349575972482,11.7073901803841,11.2562652027109
"208","W208",0.103904750691895,0.100749547733004,0.0844038173501446,0.10080020535387,0.0926521517764897,2.29324093961346,2.22024872813029,1.8512278359207,2.2214056230813,2.036316729501
"209","W209",0.0365265937450649,0.0389251268955822,0.0429230954822791,0.043114334197309,0.043018720836603,10.0425476196425,10.7231418212183,11.8624059340039,11.9170499024867,11.8897279182453
"210","W210",0.130553162530253,0.125925127714306,0.126237101505583,0.131989065960281,0.129108976733849,6.10086206512276,5.89925369086491,5.91320426440975,6.16311743322556,6.03816084881765
"211","W211",0.0550770174245492,0.0185761491486264,0.0058171264494889,0.00578326607671515,0.0058001966239723,40.6443263523046,14.0183339705383,4.4287065434869,4.40209710737581,4.41540182543134
"212","W212",0.0543638238912091,0.0524322396604531,0.0525957086330157,0.0434017928194299,0.0477471079290886,2.16045237175942,2.08643034219154,2.09273253972192,1.73773635818006,1.90620334136703
